"year","gdp","gdp_fy","gdp_wages","cpiu","cpiu_irs","ccpiu_irs","awi","tsy_10y","rev","rev_iit","rev_payroll","rev_corp","rev_excise","rev_estate","rev_customs","rev_misc","outlays","outlays_disc","outlays_mand","outlays_mand_oasdi","outlays_mand_health","outlays_mand_other","outlays_ni","unmarried_0","unmarried_1","unmarried_2","unmarried_3","unmarried_4","unmarried_5","unmarried_6","unmarried_7","unmarried_8","unmarried_9","unmarried_10","unmarried_11","unmarried_12","unmarried_13","unmarried_14","unmarried_15","unmarried_16","unmarried_17","unmarried_18","unmarried_19","unmarried_20","unmarried_21","unmarried_22","unmarried_23","unmarried_24","unmarried_25","unmarried_26","unmarried_27","unmarried_28","unmarried_29","unmarried_30","unmarried_31","unmarried_32","unmarried_33","unmarried_34","unmarried_35","unmarried_36","unmarried_37","unmarried_38","unmarried_39","unmarried_40","unmarried_41","unmarried_42","unmarried_43","unmarried_44","unmarried_45","unmarried_46","unmarried_47","unmarried_48","unmarried_49","unmarried_50","unmarried_51","unmarried_52","unmarried_53","unmarried_54","unmarried_55","unmarried_56","unmarried_57","unmarried_58","unmarried_59","unmarried_60","unmarried_61","unmarried_62","unmarried_63","unmarried_64","unmarried_65","unmarried_66","unmarried_67","unmarried_68","unmarried_69","unmarried_70","unmarried_71","unmarried_72","unmarried_73","unmarried_74","unmarried_75","unmarried_76","unmarried_77","unmarried_78","unmarried_79","unmarried_80","unmarried_81","unmarried_82","unmarried_83","unmarried_84","unmarried_85","unmarried_86","unmarried_87","unmarried_88","unmarried_89","unmarried_90","unmarried_91","unmarried_92","unmarried_93","unmarried_94","unmarried_95","unmarried_96","unmarried_97","unmarried_98","unmarried_99","unmarried_100","married_0","married_1","married_2","married_3","married_4","married_5","married_6","married_7","married_8","married_9","married_10","married_11","married_12","married_13","married_14","married_15","married_16","married_17","married_18","married_19","married_20","married_21","married_22","married_23","married_24","married_25","married_26","married_27","married_28","married_29","married_30","married_31","married_32","married_33","married_34","married_35","married_36","married_37","married_38","married_39","married_40","married_41","married_42","married_43","married_44","married_45","married_46","married_47","married_48","married_49","married_50","married_51","married_52","married_53","married_54","married_55","married_56","married_57","married_58","married_59","married_60","married_61","married_62","married_63","married_64","married_65","married_66","married_67","married_68","married_69","married_70","married_71","married_72","married_73","married_74","married_75","married_76","married_77","married_78","married_79","married_80","married_81","married_82","married_83","married_84","married_85","married_86","married_87","married_88","married_89","married_90","married_91","married_92","married_93","married_94","married_95","married_96","married_97","married_98","married_99","married_100"
1996,8073.125,7951.325,3616.475,0.489237222845931,0.488327464883123,,0.35894182387365,6.438333333,1453.053,656.417,509.414,171.824,54.014,17.189,18.67,25.525,1560.484,532.733,786.698,347.051,263.262,176.385,241.053,3963653,4036389,4097039,4176022,4239176,4310507,4207812,4093410,4002410,3966612,3976023,3907085,3901962,3976007,3944607,3914569,3855664,3662447,3589463,3314395,3141346,3015440,2835250,2711096,2693737,2508319,2189709,1944987,1780090,1696479,1640135,1641641,1570848,1508060,1475002,1404808,1388351,1334457,1316446,1268268,1213006,1196591,1153074,1114118,1078194,994517,1005271,981099,1010581,894515,738400,759787,783233,742355,670202,623798,607930,612490,586825,571497,574397,575533,565333,576386,600480,609187,621178,640088,652336,662976,676249,688599,694141,703439,715570,696098,673538,657470,638793,620930,608931,598566,571647,534973,490240,451938,419075,374344,332943,287271,248935,205620,167627,133382,107032,85560,62447,44748,33218,23474,44912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6498,8581,23094,68469,157517,268938,444230,602782,784130,1026030,1370747,1700584,1912379,2097719,2254996,2423315,2609879,2903483,3036912,3139310,3256446,3246400,3323692,3288038,3325243,3272752,3174710,3157883,3071908,3007373,2956242,2765327,2825287,2783764,2891540,2577937,2137477,2207613,2284151,2174586,1969742,1837550,1788234,1789064,1691118,1614838,1584655,1545945,1474969,1458802,1471618,1441227,1410223,1386425,1341739,1286722,1233327,1175221,1108046,1044557,983537,881381,782522,699888,621669,549010,487321,434243,371840,311736,254834,208162,168894,131573,101783,76229,58312,42946,31135,22018,15728,11239,7331,4706,3144,1987,2672
1997,8577.55,8451.025,3876.85,0.500673464680649,0.501696245123093,,0.379886410828117,6.3525,1579.232,737.466,539.371,182.293,56.924,19.845,17.928,25.405,1601.116,547.037,810.095,362.296,282.993,164.806,243.984,3945102,3978670,4052681,4111662,4188848,4251794,4323912,4223801,4107980,4017255,3981899,3993092,3924406,3922323,3992465,3963684,3933201,3841470,3612104,3511387,3189032,3039241,2883636,2677038,2526755,2472072,2298583,2015071,1824357,1694891,1620905,1562831,1573461,1520193,1471459,1448922,1393354,1379127,1331922,1316432,1276576,1227857,1209204,1163685,1122149,1085633,1006827,1015403,993889,1023676,907756,750426,771124,793953,752071,678156,634334,617844,625116,599826,584585,587369,586957,575911,586573,610118,620369,631316,651368,662814,672316,685106,697436,701877,709168,718027,696246,669290,650699,628285,607525,592291,577925,547059,507120,459586,420938,385108,339113,296951,250862,213450,172942,138225,107796,84738,66317,47358,33204,24113,46286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6689,8833,23186,69367,151846,272150,432469,582380,765810,976455,1243822,1624084,1946188,2110784,2245505,2358308,2518347,2704450,2983652,3103648,3188049,3284402,3272185,3331861,3296456,3324466,3264781,3162459,3140453,3060287,2996337,2939138,2754346,2803394,2765693,2867547,2554678,2117655,2184477,2259615,2150144,1943495,1816922,1759751,1759417,1659721,1583153,1552881,1511038,1440752,1422700,1430503,1400378,1362862,1336679,1287667,1230639,1176621,1117621,1047987,981678,917833,818325,720230,640269,564138,494178,434523,383801,325036,269072,217220,172793,138035,105723,80295,59959,45040,32537,23123,16018,11189,7818,4981,3123,2035,2733
1998,9062.825,8930.8,4181.625,0.50841891920342,0.510163139275074,,0.399769155288086,5.264166667,1721.728,828.586,571.831,188.677,57.673,24.076,18.297,32.588,1652.458,551.995,859.345,376.119,291.472,191.754,241.118,3922280,3956579,3995228,4069322,4126681,4202166,4265040,4337198,4239609,4122702,4032193,3997108,4010019,3941123,3935309,4012373,3969681,3920558,3790029,3534987,3381460,3088687,2910904,2724349,2498999,2324910,2266383,2122535,1888314,1739614,1617266,1543627,1498564,1520835,1484695,1448756,1433166,1388938,1375085,1334737,1325717,1292297,1243382,1219345,1172478,1131444,1095685,1020112,1026647,1007868,1038462,921742,761914,781284,803850,761428,686610,645735,628675,637921,612151,596251,598867,596822,585357,596001,619295,631200,641020,661830,671596,679860,692709,705005,707931,712520,717534,693368,661813,640607,614681,590742,571727,553245,518817,475604,428516,387075,348964,302468,259343,215035,179375,142343,111351,84955,65291,49934,34843,23880,47129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6695,9089,23055,68237,152461,261113,439240,566628,741578,956718,1188968,1479496,1861270,2157703,2260840,2356919,2453695,2614753,2785742,3048111,3154968,3222642,3301899,3290782,3334798,3299320,3314062,3248997,3149042,3124945,3049934,2983368,2918621,2741500,2779481,2745299,2840545,2529283,2097062,2161335,2234836,2124955,1915519,1793921,1728978,1728207,1627619,1551349,1521096,1476282,1406029,1385384,1387739,1357575,1313591,1285228,1232926,1174047,1118645,1058465,986787,918435,852493,755775,659165,582120,508227,441227,384093,335979,280993,229779,180337,141199,110899,83393,63046,46214,34046,24106,16768,11351,7750,5286,3286,2008,2781
1999,9631.175,9479.625,4457.925,0.519569254890904,0.519468858853876,,0.422047624739553,5.636666667,1827.452,879.48,611.833,184.68,70.414,27.782,18.336,34.927,1701.842,572.113,899.974,386.991,296.301,216.682,229.755,3969870,3933433,3969400,4011607,4086542,4142399,4216174,4278047,4350447,4255835,4137651,4047354,4012400,4026637,3950745,3952300,4020313,3946652,3872688,3712772,3406572,3279096,2961104,2753151,2543720,2303514,2136594,2092771,1994307,1797762,1661728,1537892,1479508,1449707,1484089,1463059,1435956,1424931,1389905,1376722,1347031,1342494,1308399,1255979,1227194,1182294,1143356,1106696,1034594,1039044,1023416,1053891,934844,772068,790455,813200,771180,695696,657880,639450,649845,622857,606289,608731,605444,593901,604766,627897,641501,649823,670539,678510,686032,698954,710716,711365,712669,713710,686958,650759,626937,597154,569596,546773,524409,486265,443588,394028,350561,310929,263928,222129,180571,147476,114486,87568,65287,49017,36607,24955,47290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6845,9111,23015,66168,148637,260994,423082,575271,722887,930129,1168871,1418917,1701272,2065882,2320949,2374281,2461099,2550330,2697418,2850977,3096064,3191909,3246819,3311314,3303347,3331486,3292202,3295634,3232108,3137693,3110727,3037312,2966459,2895976,2726217,2753156,2722009,2811289,2503081,2076499,2137971,2209168,2097747,1885323,1768501,1696663,1695984,1594975,1518901,1488606,1440448,1369613,1345947,1342961,1312633,1262794,1232892,1177271,1115804,1058730,997592,924622,854991,787466,693888,599286,525060,453787,390295,336114,290759,240329,190814,147478,113556,87576,65454,48604,34945,25222,17462,11866,7848,5226,3484,2111,2801
2000,10250.95,10117.075,4824.975,0.537061506655191,0.535616248320192,,0.445386828579601,6.029166667,2025.191,1004.462,652.852,207.289,68.865,29.01,19.914,42.799,1788.95,614.626,951.375,406.048,313.256,232.071,222.949,3979672,3978943,3945317,3982050,4029087,4104915,4159263,4230507,4291571,4364277,4273034,4153588,4063493,4028360,4036758,3965228,3958808,4000827,3890977,3800688,3582424,3306310,3147165,2802921,2573308,2346501,2121114,1977364,1965619,1903055,1714508,1582097,1472538,1431792,1416891,1461475,1451346,1431144,1422793,1396966,1388314,1366870,1359408,1321078,1266028,1236093,1194992,1156395,1119050,1050365,1053017,1039595,1068293,946181,781111,799005,822881,781463,705295,669895,649289,660200,632057,614908,617553,613312,602020,613206,636070,651007,656958,677539,684255,691031,703477,713900,711655,709456,706053,676380,635625,608858,574856,543713,517355,490658,452883,406871,355614,311033,270088,224837,185327,147370,117655,89192,66589,48436,35476,25858,47373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7099,9295,22326,64674,142317,253410,424945,553707,735639,910341,1141450,1398427,1636591,1894655,2225126,2448358,2481336,2567673,2633343,2764052,2900550,3130106,3219078,3263087,3314543,3309656,3318000,3277093,3276407,3217902,3128105,3094662,3020851,2947375,2870876,2708478,2724263,2696909,2781664,2477287,2055714,2113625,2181317,2068186,1853012,1741485,1663720,1663494,1561996,1486136,1455216,1403294,1331672,1305050,1296667,1266095,1211210,1179469,1119966,1055737,997270,935821,862181,791451,722809,632481,540139,469046,401144,341459,290362,248512,199012,155582,118238,89421,68433,50187,36500,25670,18090,12232,8107,5230,3396,2206,2826
2001,10581.925,10525.725,4953.65,0.552188535489959,0.553231582283446,,0.456012179186553,5.0175,1991.082,994.339,693.967,151.075,66.232,28.4,19.369,37.7,1862.846,649.041,1007.638,429.368,347.134,231.136,206.167,4078007,4001399,4001396,3962074,3997089,4043348,4116178,4170696,4243788,4303475,4381835,4289160,4170526,4083454,4040172,4055472,3977936,3947391,3962457,3831930,3681911,3490319,3183455,2985265,2628156,2380811,2164673,1963820,1861121,1869912,1815549,1629567,1513781,1424370,1399129,1397764,1447818,1444430,1431166,1426417,1413366,1407059,1383670,1372463,1329418,1276134,1248251,1206289,1170445,1132141,1067386,1066912,1052206,1080353,956378,789505,807556,832094,793497,715794,681151,658744,669202,640510,622652,625203,619898,607967,621199,641580,658253,661034,682022,689118,694389,705836,714447,709344,703803,696637,663486,619262,588368,550489,515602,484753,457964,416288,368018,316115,270660,230337,187650,151198,117451,91548,67715,49301,34980,25002,47881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7228,9661,22112,61347,138078,241890,415892,557232,711318,931623,1125006,1372333,1617914,1825523,2048166,2344984,2565897,2590600,2654425,2699364,2811622,2937515,3152771,3230080,3268926,3309410,3303410,3295348,3254477,3260492,3202498,3114453,3075268,2995651,2924329,2841729,2687212,2692610,2665335,2752298,2452430,2033978,2086680,2149150,2040087,1822752,1714265,1633538,1631054,1530119,1452652,1419230,1362573,1288290,1262357,1245320,1216620,1155676,1121629,1060603,993700,934658,873670,799860,729208,660905,573152,484729,416743,352534,296299,248954,206142,162577,125017,93339,69898,52474,37677,26776,18381,12632,8318,5376,3371,2129,2875
2002,10929.1,10828.875,4995.85,0.560999639914334,0.562039249265073,,0.460585470817236,4.610833333,1853.136,858.345,700.76,148.044,66.989,26.507,18.602,33.889,2010.894,733.95,1105.995,452.073,378.893,275.029,170.949,4046670,4091181,4023155,4023942,3980631,4014167,4060013,4127412,4183700,4259854,4318248,4401051,4306742,4189144,4097472,4059018,4068035,3971349,3912865,3905917,3716686,3591982,3364520,3024895,2797698,2436734,2200790,2010290,1847546,1777497,1781176,1726317,1560487,1464249,1393537,1379980,1387949,1443081,1444633,1438104,1440699,1437663,1425641,1396343,1382387,1338861,1289642,1261996,1219571,1186299,1147040,1085102,1079822,1062817,1090853,966097,798441,816561,841697,805312,725461,691217,667108,677237,648344,629987,632656,626360,613715,628768,645896,664371,664531,686009,692989,695882,705742,712346,703962,694798,683905,647041,598980,563900,522460,483493,453240,421491,376792,327290,275438,231281,192722,153456,120704,91451,69496,50092,35545,24601,47499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7447,9822,22259,59276,129464,233369,399511,545557,718033,906099,1155369,1358577,1593609,1812847,1976388,2172029,2460185,2687040,2685420,2723658,2749445,2846984,2966311,3167421,3234522,3268231,3293943,3289445,3273055,3236098,3247608,3185937,3097292,3054201,2968422,2899466,2810812,2665194,2661818,2635531,2724015,2427521,2011321,2058756,2115856,2011368,1792737,1687462,1603600,1598655,1497833,1418467,1382456,1321167,1244290,1218929,1194075,1166736,1099449,1062734,1000482,931685,872406,811750,738138,667929,600103,515434,431575,367052,306660,254783,206833,168744,130926,98951,73080,53711,39486,27714,19206,12850,8597,5514,3470,2119,2872
2003,11456.45,11278.75,5138.275,0.573891403215944,0.574857550318691,,0.471844658008432,4.015,1782.314,793.699,712.978,131.778,67.524,21.959,19.862,34.514,2159.899,824.339,1182.487,470.453,410.757,301.277,153.073,4045336,4063568,4105069,4045077,4048222,4000756,4033066,4075937,4139185,4198330,4277185,4333338,4419997,4323987,4199237,4116425,4070548,4061878,3943180,3858251,3789623,3630130,3466960,3197665,2836227,2590072,2253163,2043616,1892476,1758928,1695932,1687876,1651471,1508983,1430850,1373935,1367973,1385257,1444236,1450652,1454558,1461562,1460417,1438458,1404530,1392347,1350917,1303983,1277098,1233914,1203309,1161787,1101175,1089960,1071243,1100255,975926,807326,825496,850636,815871,733589,700066,674468,684522,655673,637023,639857,632400,618797,635074,648945,669825,667416,688857,694848,694752,702895,707094,695198,682383,667213,626039,574231,535416,490058,452574,417468,381666,335078,285099,235083,193087,157140,122114,93694,69207,51250,35998,24907,46781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7744,10122,21917,58049,123599,217372,387647,524197,705810,919032,1129416,1396561,1580816,1788433,1967677,2094065,2288250,2574025,2787951,2756948,2771190,2782947,2870358,2983458,3171699,3228921,3253928,3268017,3273242,3252786,3218700,3231318,3163550,3076325,3028941,2937520,2871024,2777870,2642646,2631647,2605760,2694541,2400500,1987135,2029339,2081620,1982179,1762595,1660151,1573005,1565255,1464325,1383140,1344418,1278591,1199366,1174838,1142321,1115240,1041794,1002655,939790,869703,810119,750038,677018,607321,540470,459652,380724,319734,264099,211667,169308,135930,103642,77317,55978,40230,28881,19778,13362,8708,5677,3546,2167,2863
2004,12217.175,12028.425,5421.025,0.589200372156099,0.58809526408572,,0.493779614625781,4.274166667,1880.114,808.959,733.407,189.371,69.855,24.831,21.083,32.608,2292.841,895.065,1237.531,491.537,445.728,300.266,160.245,4118163,4062330,4079875,4117320,4066803,4072117,4020462,4048956,4090269,4150233,4212035,4293162,4346943,4437258,4331208,4212875,4125151,4059547,4029151,3893344,3744284,3704236,3508257,3297381,2998251,2627826,2391583,2092179,1922356,1800492,1671626,1608873,1609230,1596124,1474723,1409041,1361150,1363067,1388351,1451316,1466307,1477555,1480516,1477063,1446403,1412610,1405057,1363788,1319675,1293218,1249097,1219764,1174279,1114110,1097474,1078299,1109395,985136,815584,833230,857684,824384,740119,707630,680779,690897,662282,643376,646303,637533,622453,640151,651343,674767,669288,689808,694227,691103,697135,698598,683274,666405,646403,601067,546058,502926,459824,417719,378708,339937,292376,243720,196602,157782,125391,95102,71174,51258,37020,25353,46811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8103,10509,21845,55460,119149,206121,363270,508094,680566,908252,1150441,1369423,1625076,1776394,1943066,2088412,2203352,2402997,2666758,2863313,2805485,2801758,2804529,2881564,2989963,3165510,3209474,3229257,3240362,3259606,3234043,3198171,3209081,3137109,3050699,2999499,2902719,2840039,2744189,2620204,2601196,2574428,2662342,2371228,1960865,1998231,2046204,1951848,1731062,1631096,1540453,1529672,1428788,1345779,1304427,1234436,1153606,1129482,1089060,1061589,982816,942003,878998,807800,748181,688865,616530,547993,483098,406589,332608,276308,219950,173768,136800,107981,81156,59343,42051,29551,20720,13847,9127,5802,3680,2243,2926
2005,13039.2,12839.95,5691.375,0.609031855183495,0.606365930413678,,0.511847143081264,4.29,2153.611,927.222,794.125,278.282,73.094,24.764,23.379,32.745,2471.957,968.541,1319.43,518.712,481.183,319.535,183.986,4145865,4134432,4079252,4095520,4131355,4090687,4098485,4040502,4066379,4106886,4163941,4227845,4311581,4362885,4448449,4347042,4222371,4119577,4032923,3986097,3790478,3670141,3589673,3347788,3100744,2785733,2434154,2222417,1971839,1830717,1714206,1583589,1539364,1553815,1562586,1454898,1396376,1357884,1366204,1399192,1469821,1489913,1499780,1494076,1489706,1455217,1424451,1419649,1379150,1337438,1311101,1264389,1234598,1183974,1125052,1104306,1085683,1118339,994074,823190,839772,863330,831966,746076,714901,686881,697113,668726,649523,652414,641819,625483,645203,653804,679321,669915,689014,691991,685634,689279,688031,668792,647232,622306,573379,514729,474278,426681,381092,339439,298824,252027,205693,162223,127182,98679,73039,53328,37481,26430,47896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8452,11006,21983,53674,112146,197346,347929,476633,662857,883157,1145922,1402354,1601278,1830295,1937237,2069037,2206879,2316419,2503113,2738615,2918971,2841446,2824869,2818244,2886301,2990180,3149167,3183117,3206144,3218666,3250393,3214686,3173950,3184948,3108278,3023091,2968239,2867685,2810356,2712939,2599377,2571134,2542427,2629769,2341581,1934665,1967767,2011596,1921615,1699367,1601409,1507190,1493529,1392435,1307701,1263907,1190433,1107819,1083167,1034938,1007055,924215,882206,819056,747270,687945,629241,558144,491586,429035,356779,288920,231131,181562,141353,109532,85234,62850,45011,31180,21369,14596,9500,6105,3779,2336,3018
2006,13815.6,13636.75,6056.75,0.628655406127195,0.630036535426801,,0.535373201281484,4.791666667,2406.869,1043.908,837.821,353.915,73.961,27.877,24.81,44.577,2655.05,1016.624,1411.823,543.911,510.955,356.957,226.603,4181259,4165901,4153046,4098580,4116991,4152340,4122443,4130898,4068163,4092627,4132861,4186398,4253099,4339924,4380075,4476069,4366634,4225995,4107108,4004470,3893284,3731433,3569702,3436289,3160451,2892229,2589111,2269960,2096138,1884038,1748060,1630293,1516770,1495603,1523190,1546658,1446432,1395746,1364953,1379250,1423216,1498081,1514279,1517958,1504808,1504577,1469300,1439620,1438250,1397801,1358090,1330192,1279068,1247674,1192639,1136544,1112542,1093704,1127588,1002933,830449,845836,868831,839762,752443,722556,693329,703646,675375,655639,657911,645689,628694,650612,656090,682768,668871,686335,687267,677164,678287,673723,649933,623553,594002,540548,485756,440141,389043,341074,297770,256796,211924,168991,130083,99488,75265,54315,38667,26522,48822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,11501,22338,52377,106953,184622,336911,457885,626011,867584,1124885,1406933,1648882,1813479,2001936,2074389,2198371,2334956,2419941,2588594,2795634,2966093,2874250,2843665,2829282,2888945,2984609,3129749,3162217,3192857,3205025,3243608,3194493,3150788,3160933,3079850,2996098,2939418,2836999,2786253,2686665,2581639,2543083,2512880,2599426,2314399,1911311,1939963,1978834,1892382,1668324,1571975,1474497,1457591,1356282,1269773,1223714,1146473,1061384,1035478,980179,952313,866297,822732,759379,687302,628085,570393,501441,437340,377173,310489,241714,190829,147783,113213,86259,65778,47444,33169,22383,14933,9924,6281,3927,2363,3089
2007,14474.25,14305.375,6396.4,0.646701275957085,0.644445983461921,,0.55966939309368,4.629166667,2567.985,1163.472,869.607,370.243,65.069,26.044,26.01,47.54,2728.686,1041.59,1449.987,581.442,567.399,301.146,237.109,4320099,4199831,4187999,4173281,4121475,4142073,4177221,4155646,4165864,4098707,4121778,4160760,4210812,4280140,4360932,4404459,4497925,4371101,4212990,4080537,3913204,3833698,3634153,3418910,3243429,2950145,2690187,2415257,2142044,1998686,1798292,1660481,1560166,1468289,1467879,1501145,1532994,1440443,1394715,1369606,1391345,1441233,1510718,1519196,1520151,1507848,1517699,1480293,1450513,1448360,1403485,1361102,1328960,1274683,1246495,1193528,1145160,1119462,1101017,1135439,1009614,835854,850369,873178,846659,757738,728972,698415,708629,680462,660043,662148,648598,630157,652405,652307,678254,659949,676455,677012,665406,665063,657488,629375,598463,563178,513479,453572,403749,350288,301090,257552,217324,175294,136525,102595,76570,56514,39788,27666,50108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8261,11150,22634,51893,103319,175985,317306,441076,601600,821154,1106006,1380744,1651944,1862884,1979746,2135227,2200248,2320315,2433783,2490284,2644063,2830987,2999172,2893998,2853029,2833487,2883891,2977157,3118978,3154520,3189565,3193581,3233708,3172886,3127585,3141161,3060561,2983251,2927509,2822213,2773124,2664983,2563884,2513610,2481195,2567538,2286876,1887864,1911846,1945453,1862025,1636189,1541824,1440990,1421051,1319660,1231730,1183059,1101907,1015094,989334,929680,903120,814215,768472,703502,629154,568853,511815,445209,383842,327891,259307,199330,155184,118308,89109,66576,49706,35038,23904,15720,10217,6615,4087,2484,3189
2008,14769.85,14796.575,6534.125,0.671372628155954,0.67191489486087,,0.57254406019791,3.666666667,2523.991,1145.747,900.155,304.346,67.334,28.844,27.568,49.997,2982.544,1134.884,1594.903,612.11,594.143,388.65,252.757,4375086,4336459,4220208,4210601,4194750,4145424,4168158,4199379,4186749,4198881,4126805,4146904,4184345,4230260,4294525,4383243,4417992,4500812,4355855,4182497,3984075,3843472,3721180,3471800,3220596,3028551,2752544,2518474,2283301,2040947,1896819,1697489,1578508,1502706,1432056,1448500,1485897,1529710,1440415,1394705,1372783,1394504,1441551,1504049,1511541,1520490,1514600,1532611,1492213,1461830,1460954,1414894,1372746,1338072,1280027,1252380,1196064,1149440,1118407,1099420,1135210,1011174,838563,853880,877619,854170,764171,737268,705704,716074,687972,667059,668831,653141,632422,654154,649025,676230,655095,671213,670867,655637,651773,639899,607451,571342,538701,482631,418760,365884,311241,262042,219367,180949,142512,108285,79348,57754,41577,28580,51964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7227,9860,19618,47744,96167,163127,301702,415148,581012,789945,1041933,1343743,1600644,1840130,2004869,2085147,2234984,2298965,2398405,2485869,2515665,2660886,2832425,2997638,2886000,2841375,2820306,2869502,2970613,3112112,3145344,3175443,3166823,3211485,3140712,3094892,3110482,3027627,2954002,2897670,2790282,2745783,2634917,2543840,2486052,2452868,2538586,2259710,1862548,1880196,1907432,1826571,1599548,1506273,1401980,1378657,1277167,1187661,1136398,1052264,964741,939755,875768,848242,755555,707070,641016,566832,507632,452647,388685,331072,271637,212314,161029,123470,92539,68372,50040,36533,25132,16712,10718,6786,4285,2581,3301
2009,14478.05,14467.3,6249.125,0.669221835070784,0.673164744746834,,0.563909698896451,3.256666667,2104.989,915.308,890.917,138.229,62.483,23.482,22.453,52.117,3517.677,1237.536,2093.239,677.726,683.566,731.947,186.902,4295022,4391244,4353225,4239198,4232392,4214974,4167498,4188277,4216170,4212396,4225058,4146121,4162772,4197712,4233005,4303425,4389245,4409006,4476479,4309945,4058729,3887110,3702198,3531765,3259810,3006163,2834159,2592185,2397292,2189959,1952411,1806056,1630507,1535190,1477646,1413154,1433216,1469757,1518982,1432628,1392669,1376326,1397565,1444557,1504343,1514079,1528169,1521489,1545453,1503221,1477174,1482125,1435016,1390812,1350052,1285308,1255599,1193445,1147648,1111106,1090632,1126523,1004803,835210,851864,877050,857683,767497,742404,709540,719700,691755,670441,672321,655555,633419,656645,648714,677924,652401,665890,661644,640531,631275,614211,576282,542752,503114,442880,377232,323243,269327,221792,181394,145961,112028,82920,59192,41984,29486,53053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6131,8317,15892,40034,87702,151687,295543,406550,557793,767602,996857,1246020,1526213,1747600,1945812,2079516,2152617,2301704,2345239,2419715,2488109,2507405,2659035,2821883,2992312,2875890,2822603,2797832,2846322,2953079,3090704,3119123,3147551,3133823,3185614,3103954,3052842,3066061,2980967,2913429,2860000,2753479,2716119,2605269,2525343,2460268,2427225,2513527,2235971,1839017,1849680,1870031,1791180,1562020,1469863,1362434,1335970,1234336,1143034,1088527,1000516,911657,885074,814959,785136,690767,641668,577618,506254,450015,397969,338302,277310,224761,173267,129355,97462,71640,51818,37051,26368,17663,11431,7135,4397,2701,3413
2010,15048.975,14884.4,6372.5,0.680174115844658,0.683107709517075,,0.577237719833774,3.214166667,2162.706,898.549,864.814,191.437,66.909,18.885,25.298,96.814,3457.079,1347.166,1913.719,700.752,727.136,485.831,196.194,4176753,4321276,4413136,4374574,4264479,4261585,4243720,4195863,4216099,4241392,4246615,4259029,4173930,4187014,4214047,4249324,4316282,4389917,4390111,4442440,4197812,3985138,3779623,3551713,3353502,3078453,2838753,2686012,2475262,2302363,2098811,1864540,1737701,1590484,1513660,1463109,1397963,1425074,1461218,1517690,1436458,1399191,1383702,1404685,1455847,1520351,1536098,1553691,1543701,1569209,1520033,1490986,1492892,1440710,1396355,1356283,1291753,1264178,1199381,1156254,1114176,1093172,1131705,1012620,843713,860683,885576,867685,773965,748549,712963,722064,693553,671434,672725,653405,629361,653964,642927,673073,643348,653687,645249,618180,604063,581653,547309,507408,462819,400672,335268,281843,229960,185195,148096,116479,87367,63182,44083,30581,56097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5679,7641,14786,37408,80152,145271,284589,388511,531935,721802,958557,1190859,1422280,1683293,1873294,2047918,2175199,2243237,2370159,2389229,2443363,2503274,2517784,2670649,2821906,2993306,2868005,2807907,2783436,2830690,2937754,3062694,3081235,3108665,3091706,3153994,3065905,3016296,3035412,2951774,2888209,2831024,2718605,2683919,2569588,2498241,2425710,2391702,2475515,2198710,1804309,1808812,1824271,1749204,1521303,1432142,1323167,1294272,1192899,1100131,1043083,952942,863359,834860,759359,727973,632547,583300,521406,453290,399779,351161,287376,232886,186365,141591,103982,76902,55365,39136,27349,19015,12436,7863,4790,2887,3701
