"year","gdp","gdp_c","gdp_i","gdp_g","gdp_nx","gdp_comp","gdp_wages","gdp_proprietors","gdp_rent","gdp_interest","gdp_div","gdp_corp","gdp_fy","rgdp","pce_deflator","cpiu","ccpiu","cpiu_irs","ccpiu_irs","gdp_deflator","awi","u3","lfpr","emp_hh","emp_est","tsy_10y","tsy_3m","ffr","avg_rate_debt","rev","rev_iit","rev_payroll","rev_corp","rev_excise","rev_estate","rev_customs","rev_misc","outlays","outlays_disc","outlays_mand","outlays_mand_oasdi","outlays_mand_health","outlays_mand_other","outlays_ni","unmarried_0","unmarried_1","unmarried_2","unmarried_3","unmarried_4","unmarried_5","unmarried_6","unmarried_7","unmarried_8","unmarried_9","unmarried_10","unmarried_11","unmarried_12","unmarried_13","unmarried_14","unmarried_15","unmarried_16","unmarried_17","unmarried_18","unmarried_19","unmarried_20","unmarried_21","unmarried_22","unmarried_23","unmarried_24","unmarried_25","unmarried_26","unmarried_27","unmarried_28","unmarried_29","unmarried_30","unmarried_31","unmarried_32","unmarried_33","unmarried_34","unmarried_35","unmarried_36","unmarried_37","unmarried_38","unmarried_39","unmarried_40","unmarried_41","unmarried_42","unmarried_43","unmarried_44","unmarried_45","unmarried_46","unmarried_47","unmarried_48","unmarried_49","unmarried_50","unmarried_51","unmarried_52","unmarried_53","unmarried_54","unmarried_55","unmarried_56","unmarried_57","unmarried_58","unmarried_59","unmarried_60","unmarried_61","unmarried_62","unmarried_63","unmarried_64","unmarried_65","unmarried_66","unmarried_67","unmarried_68","unmarried_69","unmarried_70","unmarried_71","unmarried_72","unmarried_73","unmarried_74","unmarried_75","unmarried_76","unmarried_77","unmarried_78","unmarried_79","unmarried_80","unmarried_81","unmarried_82","unmarried_83","unmarried_84","unmarried_85","unmarried_86","unmarried_87","unmarried_88","unmarried_89","unmarried_90","unmarried_91","unmarried_92","unmarried_93","unmarried_94","unmarried_95","unmarried_96","unmarried_97","unmarried_98","unmarried_99","unmarried_100","married_0","married_1","married_2","married_3","married_4","married_5","married_6","married_7","married_8","married_9","married_10","married_11","married_12","married_13","married_14","married_15","married_16","married_17","married_18","married_19","married_20","married_21","married_22","married_23","married_24","married_25","married_26","married_27","married_28","married_29","married_30","married_31","married_32","married_33","married_34","married_35","married_36","married_37","married_38","married_39","married_40","married_41","married_42","married_43","married_44","married_45","married_46","married_47","married_48","married_49","married_50","married_51","married_52","married_53","married_54","married_55","married_56","married_57","married_58","married_59","married_60","married_61","married_62","married_63","married_64","married_65","married_66","married_67","married_68","married_69","married_70","married_71","married_72","married_73","married_74","married_75","married_76","married_77","married_78","married_79","married_80","married_81","married_82","married_83","married_84","married_85","married_86","married_87","married_88","married_89","married_90","married_91","married_92","married_93","married_94","married_95","married_96","married_97","married_98","married_99","married_100"
2047,67975.2140278036,46842.7661767524,12256.0930189397,10596.8079834417,-1720.45315133028,36077.6556889555,29630.9363050219,4597.54909665888,2054.84426722175,5796.08492280293,4827.85402775567,7674.29797032705,67348.355956874,1.44056882044503,1.53609320319762,1.63736904771647,1.54402341943448,1.63728907135258,1.54394800248495,1.54999932557692,2.12428107949203,4.122,61.43,176.389072099173,171.327011655879,3.7531005,2.99650075,3.1857755,3.579,,,,792.663389185103,149.591522486438,124.648872072468,160.651086322278,325.850159602412,17224.1274708517,3441.60215873,10573.9243966555,3958.61521608498,5208.00385044259,1407.3053301279,3208.60091546627,3530959,3559186,3587187,3613625,3638561,3662295,3684731,3711594,3735825,3757177,3775924,3795012,3814866,3835935,3858422,3882105,3897266,3907931,3926677,3912807,3887082,3833127,3725283,3590046,3479307,3341676,3073200,3022660,2862773,2691831,2673586,2645070,2421157,2369506,2261495,2263929,2327393,2268360,2338945,2294378,2188029,2181503,2197705,2113598,2046374,2004200,2106966,2039127,2033849,1992579,2055902,1987156,1982619,2126644,2099869,2133437,2087484,2021178,2089341,1979271,1967908,1914312,1832149,1704258,1743435,1656013,1680507,1524109,1421201,1403723,1309962,1332978,1352405,1319690,1358877,1451301,1486072,1340006,1329394,1274921,1328208,1368824,1339900,1294999,1277279,1224740,1204381,1116179,1022993,958225,877726,774159,666931,550443,461159,367794,286296,212039,147599,118729,198423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9586,26142,34211,74609,122850,193188,309107,439634,653408,780047,1009657,1241966,1475007,1741947,1946914,2058522,2334960,2373354,2539878,2569732,2622807,2750652,2867858,2979386,3067845,2984613,2974027,3016706,3049764,3085028,3058858,3012848,3023046,2972498,2938496,3000458,3027148,2891210,2993558,2896126,3010248,2916727,2716488,2674362,2635221,2675337,2623504,2627102,2607185,2480562,2464348,2411815,2321825,2251188,2191608,2104088,2019078,1925038,1936799,1897971,1942163,1854574,1699473,1603143,1506320,1437198,1442890,1357347,1238989,1118182,978042,835066,731303,611391,481348,367576,288308,213793,153975,100490,59880,43930,39900,20832,26407
2048,70348.9085016545,48478.5155716446,12684.0757871611,10966.8485182235,-1780.53137537474,37337.4874256139,30665.6486007933,4758.09551111421,2126.59942903313,6004.8774768479,4996.44269040489,7942.28445545087,69700.160546888,1.46115454888919,1.56607774252404,1.67455369879011,1.57488057759855,1.674471906163,1.5748036534486,1.58152631185916,2.19556283184985,4.106,61.42,176.621905674344,171.553163311265,3.7571005,3.00050075,3.1897755,3.587,,,,820.343194735446,154.815258451664,129.001610685238,166.261022256652,337.228847175729,17912.022201212,3561.78290611285,10975.2279104382,4104.51707709083,5430.29343801724,1440.41739533018,3375.01138466093,3508149,3537653,3567039,3595031,3621440,3646506,3670474,3699421,3726334,3750495,3771740,3790372,3809388,3829248,3850391,3873027,3879735,3896513,3911033,3921916,3856355,3854806,3774388,3625737,3437081,3292322,3167241,2890128,2861521,2701514,2567594,2552960,2514179,2332859,2330146,2234575,2235900,2277934,2233033,2326684,2259596,2183157,2177219,2186678,2092526,2035904,2013313,2127398,2022845,2037167,2007112,2087950,2003898,1990872,2128271,2081972,2118784,2074738,2015497,2074353,1965132,1961641,1883716,1815834,1677575,1739898,1643247,1668317,1508958,1424458,1404419,1307121,1333185,1345053,1329976,1350336,1428268,1487564,1340284,1314728,1255344,1305180,1328918,1278981,1247565,1239291,1147621,1140864,1049120,952124,865809,786275,672523,570329,470165,377403,298585,218467,163717,115190,222027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17325,26030,39995,57734,151597,177570,276659,435900,621946,871819,987260,1227643,1439987,1674424,1903796,2106997,2228928,2462498,2451269,2604704,2634424,2707296,2818598,2909995,3041688,3098589,3009727,3001991,3047261,3064541,3073825,3030722,3016833,3004166,2938777,2886005,2961362,2995632,2863922,2985266,2879632,2991630,2889892,2698163,2652859,2604246,2666625,2599024,2609561,2566959,2447756,2429159,2378997,2269326,2198761,2142272,2049022,1967302,1851562,1874844,1840851,1851880,1762933,1618998,1518359,1413708,1350286,1363930,1256450,1116212,1024465,866314,727550,627333,523689,393991,302889,231200,158668,115525,65854,45198,27259,21985,28732
2049,72795.643539342,50164.5983432264,13125.2279430386,11348.2755096873,-1842.45825661028,38636.0852382767,31732.1998591289,4923.58207299077,2200.5625571749,6220.34274191321,5170.21896717718,8218.51710881145,72124.3321307088,1.48181527421049,1.5966475800581,1.71258281328963,1.60635441307332,1.71249916315196,1.60627595160171,1.61371037230549,2.26942813619177,4.092,61.41,176.816189770586,171.741871790907,3.7611005,3.00450075,3.1937755,3.594,,,,848.874731048345,160.199733140613,133.488286704871,172.043580610738,348.957666480501,18620.1090452844,3685.66171558746,11385.7960700156,4253.76337092381,5658.10618314206,1473.9265159497,3548.65125968139,3484655,3514922,3545530,3574902,3602866,3629406,3654708,3685197,3714196,3741044,3765102,3786235,3804797,3823824,3843813,3865134,3874318,3883562,3906824,3905678,3870206,3826214,3772648,3687898,3476702,3288296,3123219,2999694,2707408,2718027,2564718,2451853,2430201,2434683,2282763,2268391,2189624,2217063,2247393,2197997,2303080,2250812,2189019,2151253,2163426,2100060,2029196,2001351,2123461,2014362,2041655,1994212,2059918,1987664,1984203,2098998,2079079,2106236,2070603,2006229,2073569,1958537,1939114,1877237,1814530,1674345,1714642,1640359,1660841,1483504,1413867,1399864,1301246,1327275,1343711,1326147,1339805,1421808,1481236,1335943,1284272,1226233,1277872,1294947,1246520,1186022,1169735,1087047,1076361,968137,888641,799021,689300,586540,473208,390509,300946,236870,166076,121174,235393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13829,29404,32897,64155,130038,204326,284675,390704,615017,802454,1074592,1189882,1447246,1621938,1850377,2057767,2269479,2347759,2551305,2550975,2686732,2688450,2770947,2884059,2961711,3075782,3114869,3051796,3036746,3044080,3070341,3078242,3022304,3009221,2981250,2930364,2892171,2954141,2977995,2865659,2960078,2859824,2962852,2864806,2663229,2621254,2587029,2631227,2557079,2568031,2548008,2402894,2387050,2354021,2228586,2149132,2092650,1996084,1905191,1787425,1809820,1762538,1763761,1670272,1545151,1433824,1318820,1250638,1249848,1158940,1015413,911796,752435,632611,510562,408394,319718,232561,186885,113817,82959,40919,30832,18693,31565
2050,75311.4609800617,51898.2868619683,13578.83582075,11740.4719113021,-1906.13361395873,39971.3483441115,32828.8646862604,5093.74106943332,2276.61399915087,6440.45098392596,5348.90173468282,8502.54906009197,74616.9490491461,1.5024421428275,1.62781414082084,1.75149269480757,1.63847327083646,1.75140714413877,1.63839324053743,1.64653324127819,2.34565465720079,4.079,61.39,176.98239698897,171.903309150391,3.7641005,3.00750075,3.1967755,3.603,,,,878.211841753376,165.736235917952,138.101641893391,177.989406756645,361.017643434067,19338.9831324291,3813.03818447816,11794.2125720051,4394.804077099,5890.95880735602,1508.44968755011,3731.73237594579,3461287,3491505,3522823,3553414,3582760,3610858,3637636,3669460,3700003,3728941,3755689,3779640,3800709,3819286,3838446,3858660,3866595,3879158,3891554,3887942,3843419,3835619,3749670,3650392,3551677,3285002,3130305,2962292,2802365,2550905,2590012,2421992,2353874,2368279,2357925,2215389,2236648,2177720,2202820,2224687,2180875,2295339,2244104,2193274,2144985,2142295,2086679,2025848,1981850,2097597,2004210,2040899,1988224,2068245,1985308,1979442,2079595,2075768,2103840,2061821,2010930,2064732,1938500,1925794,1846483,1807002,1659200,1711836,1614086,1641659,1481168,1406634,1378101,1296980,1320833,1333997,1321361,1326747,1406164,1449172,1306502,1245893,1220490,1250439,1246754,1209843,1137438,1126128,1047940,1003233,891573,795358,698097,593860,497478,391339,307696,238342,180275,122895,240901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13787,25047,38793,70797,147061,187278,305960,434697,557282,839126,994391,1271478,1424305,1642252,1789388,2032859,2194337,2370953,2463327,2656807,2619853,2734254,2735976,2824578,2929829,2995382,3104039,3128058,3068685,3064220,3056566,3067316,3085551,3032019,3000402,2961453,2913656,2860892,2931994,2956646,2855637,2934106,2828367,2936893,2823319,2633775,2600681,2558099,2617619,2520845,2537931,2504349,2379251,2354138,2303756,2182048,2113376,2037507,1939385,1846593,1719364,1742959,1688105,1695540,1593271,1469653,1319640,1217507,1158793,1129167,1038796,885916,774454,645689,527442,421278,334830,254106,177681,138485,85378,54518,27346,21464,38994
2051,77903.6814669954,53684.6258957573,14046.2193497002,12144.5789544891,-1971.74273295118,41347.1621541159,33958.8342087614,5269.06763704322,2354.97505300164,6667.44118828057,5533.0109323906,8795.20679874034,77185.2644354177,1.52316081997709,1.65958907284966,1.79130412376055,1.67125068226127,1.79121662852505,1.67116905096814,1.6800401927382,2.42440407915673,4.067,61.37,177.127522554501,172.044269863894,3.7671005,3.01050075,3.1997755,3.614,,,,908.439893346527,171.440877158248,142.855100407362,184.115802137209,373.443870721067,20124.2680917222,3944.2829587879,12251.8834959053,4576.94733920692,6131.54638907857,1543.3897676198,3928.10163702901,3438904,3468209,3499428,3530726,3561291,3590772,3619112,3652415,3684297,3714783,3743626,3770269,3794162,3815250,3833963,3853349,3864554,3864765,3888199,3888476,3834782,3802414,3757029,3630488,3504961,3352750,3095390,2946798,2808196,2655850,2426158,2469456,2317998,2266575,2334224,2296373,2162718,2238209,2185514,2172195,2206260,2164784,2274826,2220256,2186264,2135905,2147277,2103838,2023857,1984610,2085215,1999838,2054134,2014185,2057678,1992008,1976382,2071409,2065848,2070171,2044716,2027386,2065795,1931688,1900738,1832787,1799091,1648032,1690143,1608246,1617800,1469096,1399962,1377734,1300339,1307483,1321377,1295647,1305546,1398569,1416372,1266205,1237657,1184948,1205110,1202284,1152227,1087735,1058961,994139,910430,798409,689543,601864,509753,415435,314788,244145,183444,131251,256401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9452,31799,33532,61078,144808,210776,291023,453045,610683,788863,1063324,1214114,1463552,1609581,1806529,1949960,2176952,2320146,2444050,2563120,2746809,2653969,2760177,2797700,2872158,2972366,3038084,3144697,3147038,3083172,3060300,3033001,3058260,3066797,3025366,2983667,2926272,2863944,2847478,2898989,2931775,2833186,2913249,2826403,2916829,2767481,2591984,2564453,2538466,2586427,2484525,2501595,2477322,2332713,2323693,2260698,2131614,2052284,1970524,1884739,1785923,1667965,1679106,1600137,1618137,1517261,1357564,1228983,1127899,1052671,1019635,917234,776669,650212,552296,436194,352025,266850,189794,126929,98459,55951,35627,21089,35479
2052,80579.6729253867,55528.6927952765,14528.7069843624,12561.7452415758,-2039.47209582805,42767.4371741097,35125.3201638324,5450.06011037566,2435.86844607225,6903.79082765399,5723.06985791822,9097.32215227707,79836.5782687743,1.54404335481897,1.69198425155169,1.83203837953486,1.70470046884822,1.83194889465771,1.7046172037192,1.71424581106235,2.50587812702431,4.057,61.34,177.25505437074,172.168141738196,3.7711005,3.01450075,3.2037755,3.625,,,,939.644803682981,177.329871288634,147.762173106355,190.440179940622,386.271667680336,20950.4605179471,4079.76907842226,12737.4033223873,4780.47069570456,6377.29310198168,1579.63952470109,4133.28811713747,3418072,3445896,3476153,3507347,3538618,3569321,3599046,3633920,3667285,3699113,3729506,3758249,3784837,3808752,3829983,3848923,3859337,3861166,3868822,3880217,3834073,3803727,3743775,3639095,3466375,3307423,3149601,2922715,2788144,2643923,2510038,2292243,2398235,2256946,2229341,2300775,2266238,2147778,2191250,2168196,2145650,2215158,2144147,2266036,2234697,2163630,2128211,2142443,2100861,2032353,1976433,2097377,2014820,2054192,1996621,2043151,1968032,1946267,2057327,2050806,2078542,2046324,1986222,2049304,1902437,1883831,1819683,1776553,1635516,1676310,1587210,1621589,1462424,1386079,1380650,1295412,1283170,1324988,1290903,1309977,1370507,1385829,1240062,1218032,1150118,1152991,1162637,1109182,1017573,981672,915671,829405,709761,605632,527650,418006,328033,251783,185870,136762,274263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9416,29117,45384,60857,136508,198764,294638,436927,647848,841067,1026820,1272823,1410981,1667460,1795219,1980596,2061528,2278001,2395465,2515986,2630707,2797629,2734709,2809040,2853568,2890207,3015703,3064343,3141557,3176459,3090935,3060639,3024854,3034899,3056095,2992027,2946179,2903212,2856766,2836248,2894844,2932813,2815133,2895737,2780038,2875447,2766802,2565292,2548311,2510189,2554165,2460570,2464360,2439873,2299214,2263023,2208789,2084451,1983661,1907037,1836084,1704679,1590681,1584319,1523185,1528102,1420524,1250403,1131687,1034758,932161,892968,812758,675837,543999,444028,347900,271058,189620,144396,95307,63965,38811,24121,31497
2053,83343.5557067275,57433.3269581545,15027.041633926,12992.6131033619,-2109.42598871496,44234.3602691817,36330.1186454519,5636.99717216154,2519.41873377253,7150.05862134409,5919.37115404481,9409.36030210017,82574.9729033932,1.5651041061787,1.72501178414198,1.87369893228548,1.73881974699294,1.87360741252222,1.73873481532711,1.74916499823369,2.59014615178259,4.049,61.3,177.370270156081,172.280051030326,3.7761005,3.01950075,3.2087755,3.632,,,,971.874620449307,183.412285873834,152.830415643903,196.972278112585,399.520785881771,21747.5075379709,4219.70515781215,13182.5537536356,4937.00909300593,6629.06424454101,1616.48041608863,4345.24862652317,3399021,3425130,3453858,3484086,3515253,3546663,3577612,3613881,3648820,3682134,3713872,3744169,3772858,3799474,3823535,3844998,3854138,3860318,3867887,3868753,3818539,3819693,3743212,3640960,3483858,3315565,3146575,2973471,2764513,2625823,2514594,2386083,2195634,2313853,2179547,2189715,2265955,2270241,2117561,2133488,2152483,2134704,2196100,2153636,2231899,2241809,2165060,2137772,2138256,2104712,2020982,1982881,2074293,1998630,2060342,1988100,2039052,1961242,1936814,2051020,2052187,2067489,2041039,1984839,2030094,1888952,1867386,1806945,1773077,1626374,1669812,1575534,1596266,1459620,1383800,1379415,1283292,1269823,1307139,1269999,1294397,1351169,1363455,1208570,1181583,1099913,1099042,1100552,1034917,960055,903623,831623,722132,613756,528264,434694,337885,262875,191570,137683,289517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10247,24773,40136,64915,143696,173956,284685,425497,622927,831630,1036901,1239973,1469816,1613156,1837477,1959656,2117721,2186138,2394947,2472687,2588516,2662710,2861832,2824082,2854534,2891627,2932468,3024189,3110459,3140521,3176503,3075841,3055572,3006019,3028504,3028627,2992530,2938805,2873065,2838823,2812802,2872370,2911752,2787522,2859436,2750563,2838493,2723870,2538934,2515978,2481006,2519232,2415300,2421215,2392847,2253846,2227927,2148932,2021435,1914338,1845829,1772206,1639898,1524476,1500321,1427631,1423047,1322544,1153935,1039693,934087,831579,794070,693836,568744,439947,369561,277152,196244,142412,101407,60847,45027,27472,31922
2054,86198.90592524,59400.9927397409,15541.8680803043,13437.7400282831,-2181.69492308833,45749.8294520039,37574.788510245,5830.12069527979,2605.73401959157,7402.8533369462,6122.16880978239,9731.72498605012,85403.9914750635,1.58637387098167,1.75868401416843,1.91632558299498,1.77363925831563,1.9162319811571,1.77355262591048,1.78483047254767,2.67735846461782,4.041,61.26,177.47137121007,172.378250659413,3.7801005,3.02350075,3.2127755,3.636,,,,1005.1710449459,189.695990787872,158.066385683863,203.720548360723,413.208368006081,22624.0992930934,4364.27225651879,13696.5329590119,5155.68533958785,6886.92142249001,1653.92619693406,4563.29407756266,3382136,3406141,3433109,3461805,3492006,3523313,3554971,3592469,3628807,3663698,3696926,3728571,3758818,3787540,3814305,3838602,3849422,3852665,3868009,3867110,3798915,3789042,3729642,3617902,3512890,3304633,3122857,2975923,2828162,2591874,2475401,2383387,2293732,2125997,2264409,2140495,2161319,2247967,2244747,2098378,2111780,2134107,2133521,2211754,2145709,2229299,2230561,2152075,2107618,2134109,2095396,2024603,2000711,2071725,2009869,2069026,1990786,2036173,1923434,1912178,2042094,2012146,2056638,2032112,1974637,2008754,1872072,1854252,1814176,1759978,1623600,1653164,1576516,1589793,1462361,1377648,1376222,1284823,1270945,1295829,1246083,1257813,1325622,1328601,1184493,1146749,1055860,1048792,1049816,973239,886441,815186,719841,619366,529345,430369,349082,268349,197621,144592,293018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11092,28117,34885,60470,156022,196381,289569,438219,584412,835200,1059447,1244750,1424253,1682859,1804466,2010014,2092874,2227781,2275343,2473040,2537968,2642772,2722313,2912830,2875629,2900477,2916166,2935289,3044593,3119825,3152486,3185359,3095645,3046557,2997396,3004953,2988382,2971452,2903008,2838645,2807943,2787020,2879476,2904164,2760180,2862019,2718493,2802695,2687351,2514289,2486663,2446264,2462036,2377106,2369481,2353356,2192376,2169789,2079129,1957406,1841993,1766835,1688869,1563410,1452349,1427674,1331843,1323586,1210887,1045333,932421,827557,716251,680675,583683,468251,371018,300929,207535,153059,102013,67830,45159,29474,42329
2055,89150.3564641202,61434.8827311496,16074.0216433739,13897.8482468515,-2256.39615725488,47316.3036124405,38861.3492688358,6029.74402788617,2694.95435242239,7664.42896857382,6331.79186982934,10064.9392495725,88328.2241431697,1.60788510067218,1.793013526125,1.95994115326394,1.80917371239402,1.95984542104824,1.80908534432859,1.82124101418764,2.76759207056964,4.032,61.22,177.563656323099,172.467887349756,3.7841005,3.02750075,3.2167755,3.639,,,,1039.58810152485,196.191181512449,163.478578729678,210.695939936594,427.356622526609,23504.7423218607,4513.704938582,14199.9502549443,5352.53149716826,7154.52777268761,1692.89098508845,4791.08712833437,3367596,3389316,3414136,3441067,3469737,3500078,3531635,3569850,3607418,3643712,3678520,3711658,3743257,3773540,3802414,3829418,3845642,3844666,3862126,3861397,3807824,3778308,3732700,3611896,3486344,3339649,3122194,2953535,2796739,2688034,2442767,2344893,2253627,2203988,2078892,2215267,2111068,2131714,2227294,2209899,2075750,2104641,2133231,2109966,2181351,2125391,2223359,2231425,2160403,2108493,2108152,2090597,2025505,2010066,2059743,2009112,2075559,1984892,2027886,1895306,1901237,2036530,2008007,2038939,2019790,1961201,1999693,1856589,1846416,1812661,1737966,1614989,1642475,1563820,1575407,1472703,1371945,1372012,1288358,1260557,1280226,1214002,1251875,1274769,1284402,1134065,1110817,1013370,989857,986097,908850,809803,725619,636644,539038,446388,349267,271308,207571,149463,306356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8525,32301,36517,61115,141111,199922,278403,435685,600785,790781,1052820,1266081,1463070,1604942,1873370,1976479,2181460,2223405,2314857,2363716,2540756,2603061,2697810,2789084,2965499,2910376,2925155,2958333,2978647,3072135,3127169,3146668,3168076,3080449,3056341,2982038,2982696,2955543,2958768,2877463,2804614,2784554,2765224,2875179,2880586,2726939,2826280,2690841,2767859,2653637,2476970,2453761,2403976,2410983,2345593,2320999,2304302,2140502,2115035,1996643,1887905,1766412,1680908,1611878,1482010,1379039,1318116,1254884,1226909,1114706,928241,822577,726336,611978,562341,472450,376199,283667,222813,147469,107118,74171,44761,29318,45023
2056,92202.8646694517,63538.4131158642,16624.3961444431,14373.7105708237,-2333.65516167928,48936.4138481305,40191.9618678008,6236.202463401,2787.22958944933,7926.85901645779,6548.59242345229,10409.5627694778,91352.5825378318,1.6296880226373,1.82801315015496,2.00454941391223,1.84542009107643,2.0044515028313,1.84532995257716,1.85839433087707,2.86086677234433,4.032,61.22,177.655989424388,172.557570651178,3.7841005,3.02750075,3.2167755,3.639,,,,1075.18359812106,202.908767567435,169.076085265382,217.910168920023,441.98931328192,24309.5446989612,4668.25419567904,14686.1565516736,5535.8021756313,7399.49880362443,1750.85557241788,4955.13395160854,3355387,3374832,3397327,3422107,3449011,3477822,3508415,3546535,3584823,3622350,3658564,3693286,3726382,3758020,3788460,3817577,3826311,3849428,3851627,3855625,3792238,3772097,3693429,3634276,3451068,3326046,3145768,2953823,2787054,2644889,2519932,2293528,2225656,2170160,2115581,2057595,2174930,2088375,2096246,2205933,2199760,2073868,2092296,2136885,2119203,2182317,2117635,2235542,2217510,2182668,2107839,2109406,2103085,2024849,1994232,2054484,2003674,2067600,1967690,2015991,1884309,1907725,2021307,1964766,2014487,2012200,1943548,1978080,1836463,1821186,1784732,1727760,1619737,1636909,1551842,1567809,1460342,1353793,1354665,1282760,1247907,1243883,1191476,1203133,1240907,1236836,1092618,1061689,958453,932394,909874,829733,710719,634897,555884,438125,362373,276093,206770,160707,313490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18725,21249,43265,62706,151700,200224,310589,405316,627673,794379,1019939,1258591,1471828,1655658,1814608,2064626,2137581,2306533,2352184,2375629,2442544,2600344,2672194,2751375,2829392,2995225,2946574,2940575,2962203,2985395,3081749,3110761,3150769,3132903,3063747,3036674,2947955,2960939,2946913,2937625,2854872,2783997,2771120,2745361,2851484,2837135,2700967,2827212,2667599,2727909,2623776,2449995,2423345,2376560,2384088,2299698,2255633,2245868,2083522,2048253,1931653,1826576,1699006,1599017,1527861,1411731,1290188,1245055,1154766,1122080,999616,822152,721796,621673,512516,454297,390824,295394,206647,176365,102497,73729,52756,25271,52422
2057,95359.8907557337,65713.9683809514,17193.6154684288,14865.8664207687,-2413.55951441519,50611.9966582905,41568.1346421543,6449.73003574785,2882.66433059208,8198.2746691813,6772.8162280313,10765.9861987048,94480.4949639272,1.65178659222426,1.86369596684598,2.05017295857287,1.88239265760835,2.05007281903574,1.88230071320501,1.89630557522696,2.95728506239695,4.032,61.22,177.748370538888,172.647300587917,3.7841005,3.02750075,3.2167755,3.639,,,,1111.99788452072,209.856363768944,174.865250424869,225.371413103844,457.123027368693,25141.9035094536,4828.09521933909,15189.0105520029,5725.34804212492,7652.85764266054,1810.80486721747,5124.79773811162,3345436,3362676,3382856,3405308,3430061,3457107,3486174,3523335,3561529,3599778,3637229,3673361,3708044,3741183,3772982,3803668,3820499,3820849,3859866,3846928,3798608,3758420,3694480,3595578,3480368,3277991,3109662,2983069,2796674,2624789,2529759,2414021,2201042,2142915,2130628,2064054,2022464,2164050,2056671,2079665,2193704,2173785,2067229,2073447,2106390,2092587,2183612,2105894,2209455,2193349,2162908,2102758,2115131,2096933,2042609,1978381,2041017,2002930,2058385,1962061,2011099,1880838,1894057,2012025,1951511,1988568,2007841,1915607,1952353,1820066,1796887,1768375,1707215,1600831,1633101,1541607,1567044,1450617,1358960,1329276,1263234,1211817,1227023,1165793,1172501,1190265,1178727,1033312,999287,891636,860785,831153,742780,621978,538155,464361,366458,285745,212044,163528,327497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12745,40750,28795,67714,141217,208972,303721,437038,590502,834190,1046199,1220138,1455095,1674958,1812526,1962684,2199464,2262086,2387235,2443607,2449509,2490501,2667095,2720335,2794051,2883330,3025944,2984533,2984631,2996663,2986433,3089709,3127777,3161107,3136711,3049181,3011048,2931406,2919771,2936593,2922932,2826511,2763266,2744479,2716257,2817823,2811509,2666636,2795787,2645453,2684375,2601973,2424923,2386744,2346019,2342998,2260583,2209762,2181072,2019690,1969248,1859566,1736931,1634495,1521744,1457569,1315835,1198459,1147851,1060424,1017219,900739,725825,630904,523385,410967,361103,308781,233326,151185,114921,70858,50984,27921,53688
2058,98625.01341521,67964.0146583152,17782.3248620678,15374.8736870158,-2496.19979218875,52344.9514238703,42991.4275723016,6670.56879217186,2981.36675727155,8478.98359385407,7004.71745567909,11134.6135661484,97715.5071114921,1.67418481841482,1.90007531211881,2.09683489510999,1.92010596099611,2.09673247639699,1.92001217450781,1.93499020896159,3.05695288743196,4.032,61.22,177.840799691568,172.737077184222,3.7841005,3.02750075,3.2167755,3.639,,,,1150.07269208671,217.041845664392,180.852636599417,233.08813028852,472.774919825797,26002.7622856173,4993.40919964927,15709.0822733035,5921.38395908728,7914.89148834523,1872.80682587099,5300.27081266456,3337448,3352775,3370714,3390848,3413271,3438169,3465473,3501110,3538349,3576507,3614682,3652054,3688151,3722882,3756186,3788234,3806648,3820182,3827221,3858638,3790952,3750637,3695536,3599632,3443661,3290176,3099385,2968972,2814032,2658845,2480160,2434246,2320029,2126555,2092886,2101877,2057526,2020905,2114378,2023129,2080907,2198051,2167778,2089411,2076717,2084459,2097151,2168256,2108310,2219184,2181445,2152508,2095849,2113182,2114913,2014907,1985563,2036347,1995160,2040728,1960736,2002853,1862510,1872687,1991116,1950183,1972919,2003297,1904271,1934601,1806843,1766798,1751746,1697031,1583020,1616947,1527625,1557865,1431011,1341885,1314019,1243589,1193004,1209863,1123788,1137560,1139186,1124486,991490,941743,825481,771855,726941,660087,544050,443208,377606,287477,223464,166206,338604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12735,29678,52420,49838,145251,212712,297807,427259,620336,814248,1048373,1224550,1428636,1633882,1861452,1950372,2099161,2316186,2353424,2456666,2489327,2488425,2575395,2733555,2748919,2817944,2913531,3023096,2994851,3014859,2994547,2998477,3078660,3104987,3156089,3128865,3034921,2991958,2889703,2922353,2901530,2898364,2803822,2749333,2711353,2688105,2796691,2791235,2641574,2752054,2612706,2638780,2561339,2389371,2344850,2318721,2298569,2206911,2158310,2123243,1954369,1894120,1792184,1664346,1550305,1434854,1363856,1214052,1117287,1044119,956423,906514,780711,622500,531458,437650,341568,273418,228470,180080,104957,82090,44884,28015,57166
